date,construction,manufacturing,retail_trade,total_nonfarm,transportation_warehousing,year,month,manufacturing_yoy_pct,retail_trade_yoy_pct,transportation_warehousing_yoy_pct,construction_yoy_pct,total_nonfarm_yoy_pct
2000-01-01,6752.0,17284.0,15165.2,131011.0,4363.7,2000,1,,,,,
2000-02-01,6730.0,17284.0,15174.1,131120.0,4372.8,2000,2,,,,,
2000-03-01,6811.0,17302.0,15208.0,131604.0,4381.3,2000,3,,,,,
2000-04-01,6794.0,17299.0,15281.9,131884.0,4386.5,2000,4,,,,,
2000-05-01,6770.0,17278.0,15233.0,132105.0,4381.3,2000,5,,,,,
2000-06-01,6778.0,17295.0,15243.2,132063.0,4391.8,2000,6,,,,,
2000-07-01,6794.0,17322.0,15257.2,132228.0,4402.5,2000,7,,,,,
2000-08-01,6796.0,17287.0,15279.7,132234.0,4420.0,2000,8,,,,,
2000-09-01,6807.0,17229.0,15303.4,132337.0,4408.6,2000,9,,,,,
2000-10-01,6814.0,17217.0,15308.3,132352.0,4420.1,2000,10,,,,,
2000-11-01,6817.0,17202.0,15315.8,132556.0,4435.3,2000,11,,,,,
2000-12-01,6792.0,17181.0,15362.5,132716.0,4462.9,2000,12,,,,,
2001-01-01,6824.0,17105.0,15336.1,132703.0,4428.6,2001,1,-1.035639898171714,1.1269221639015559,1.4872699773128328,1.0663507109004655,1.2914946073230515
2001-02-01,6841.0,17030.0,15354.0,132788.0,4425.1,2001,2,-1.469567229807911,1.185572785206368,1.1960300036589766,1.649331352154526,1.2721171446003599
2001-03-01,6862.0,16938.0,15329.6,132751.0,4431.1,2001,3,-2.1038030285516096,0.7995791688584886,1.1366489398123791,0.7487887241227398,0.8715540561077262
2001-04-01,6844.0,16802.0,15233.9,132458.0,4412.1,2001,4,-2.8729984392161345,-0.3140970690817202,0.5836087997264316,0.7359434795407793,0.43523096054107757
2001-05-01,6849.0,16660.0,15237.6,132408.0,4408.1,2001,5,-3.5768028707026223,0.030197597321612868,0.611690594115899,1.1669128508124071,0.2293630066992236
2001-06-01,6840.0,16513.0,15241.8,132300.0,4387.1,2001,6,-4.521538016767856,-0.00918442321823365,-0.10701762375335822,0.9147241074063173,0.17945980327571665
2001-07-01,6845.0,16381.0,15180.5,132172.0,4390.3,2001,7,-5.432398106454217,-0.5027134729832516,-0.277115275411699,0.7506623491315922,-0.04235109054058217
2001-08-01,6827.0,16233.0,15185.3,132021.0,4381.8,2001,8,-6.097067160293868,-0.6178131769602913,-0.8642533936651597,0.45615067686874955,-0.1610780888425034
2001-09-01,6813.0,16116.0,15175.7,131763.0,4322.3,2001,9,-6.46003830750479,-0.834455088411723,-1.957537540262222,0.08814455707359947,-0.43374113059839736
2001-10-01,6804.0,15973.0,15148.9,131452.0,4288.6,2001,10,-7.22541673926933,-1.0412651960047814,-2.9750458134431335,-0.1467566774288276,-0.6800048355899424
2001-11-01,6784.0,15825.0,15126.5,131144.0,4241.8,2001,11,-8.004883153121733,-1.235978531973514,-4.362726309381548,-0.484083907877364,-1.0652101753221288
2001-12-01,6785.0,15712.0,15077.2,130983.0,4227.2,2001,12,-8.550142599383037,-1.8571196094385622,-5.2813193215173975,-0.10306242638398189,-1.3057958347147292
2002-01-01,6775.0,15588.0,15039.8,130859.0,4205.5,2002,1,-8.868751826951183,-1.9320426966438764,-5.037709434132687,-0.7180539273153541,-1.3895691883378691
2002-02-01,6766.0,15518.0,15043.5,130737.0,4211.6,2002,2,-8.878449794480325,-2.0222743259085574,-4.824749723170097,-1.0963309457681647,-1.5445672801759236
2002-03-01,6755.0,15443.0,15051.6,130722.0,4201.8,2002,3,-8.826307710473491,-1.8134850224402421,-5.174787298864847,-1.5593121538909904,-1.528425397925437
2002-04-01,6710.0,15392.0,15049.2,130616.0,4202.0,2002,4,-8.391858112129514,-1.2124275464588719,-4.761904761904767,-1.9579193454120403,-1.390629482552963
2002-05-01,6684.0,15338.0,15029.6,130632.0,4206.8,2002,5,-7.935174069627848,-1.3650443639418253,-4.566593316848532,-2.4091108190976818,-1.3413086822548492
2002-06-01,6701.0,15297.0,15018.6,130674.0,4214.8,2002,6,-7.3638951129413215,-1.4643939692162267,-3.927423582776779,-2.032163742690063,-1.2290249433106526
2002-07-01,6688.0,15256.0,15016.5,130584.0,4228.2,2002,7,-6.8677125938587436,-1.080333322354332,-3.692230599275681,-2.293644996347699,-1.2014647580425475
2002-08-01,6701.0,15171.0,14971.2,130581.0,4232.1,2002,8,-6.542228793199034,-1.4099161689265172,-3.4164042174448794,-1.8456130071773824,-1.0907355647965078
2002-09-01,6702.0,15119.0,14952.7,130502.0,4202.6,2002,9,-6.186398610076937,-1.46945445679606,-2.769358906137931,-1.6292382210480016,-0.9570213185795762
2002-10-01,6689.0,15059.0,14958.1,130617.0,4213.2,2002,10,-5.722156138483692,-1.2594973892493755,-1.7581495126614888,-1.6901822457378035,-0.6352128533609225
2002-11-01,6713.0,14992.0,14945.3,130616.0,4212.5,2002,11,-5.263823064770934,-1.197897729150832,-0.6907444952614528,-1.046580188679247,-0.40261087049350275
2002-12-01,6700.0,14911.0,14957.2,130465.0,4211.8,2002,12,-5.098014256619143,-0.7959037487066611,-0.36430734292202116,-1.2527634487840777,-0.39547116801417204
2003-01-01,6704.0,14867.0,14939.1,130573.0,4197.0,2003,1,-4.625352835514496,-0.669556776020952,-0.2021162763048423,-1.0479704797047962,-0.21855585018989432
2003-02-01,6667.0,14780.0,14904.0,130441.0,4201.8,2003,2,-4.755767495811314,-0.9273107986838114,-0.23269066388071913,-1.4631983446644958,-0.22640874427285462
2003-03-01,6654.0,14721.0,14879.2,130235.0,4188.3,2003,3,-4.675257398173926,-1.1453931807914097,-0.3212908753391419,-1.4951887490747606,-0.37254631967075236
2003-04-01,6689.0,14608.0,14889.6,130173.0,4170.4,2003,4,-5.093555093555091,-1.0605214895143988,-0.7520228462636891,-0.3129657228017835,-0.339162124088932
2003-05-01,6706.0,14558.0,14881.1,130197.0,4166.4,2003,5,-5.085408788629553,-0.9880502475115738,-0.9603499096700663,0.32914422501495455,-0.33299650927797186
2003-06-01,6723.0,14493.0,14866.3,130186.0,4158.4,2003,6,-5.25593253579133,-1.0140758792430815,-1.3381417860871325,0.32830920758095683,-0.3734484289147022
2003-07-01,6735.0,14403.0,14854.4,130184.0,4150.3,2003,7,-5.591242789722073,-1.0794792395032116,-1.8423915614209307,0.7027511961722466,-0.3063162408870945
2003-08-01,6760.0,14376.0,14881.5,130153.0,4151.7,2003,8,-5.240261024322724,-0.5991503687079236,-1.8997660735805,0.8804656021489388,-0.3277659077507433
2003-09-01,6783.0,14346.0,14912.4,130252.0,4162.1,2003,9,-5.112772008730737,-0.26951654216296195,-0.9636891448151164,1.2085944494180767,-0.19156794531884902
2003-10-01,6784.0,14334.0,14928.2,130439.0,4171.3,2003,10,-4.814396706288592,-0.19989169747494095,-0.9944934966296337,1.420242188667964,-0.13627628869136155
2003-11-01,6796.0,14316.0,14907.5,130480.0,4174.8,2003,11,-4.509071504802565,-0.25292232340601295,-0.8949554896142353,1.2364069715477433,-0.10412200649231318
2003-12-01,6827.0,14299.0,14901.3,130589.0,4161.6,2003,12,-4.10435249144927,-0.37373305164069004,-1.1918894534403313,1.8955223880597005,0.09504464798988366
2004-01-01,6848.0,14291.0,14948.1,130756.0,4191.7,2004,1,-3.8743525929911926,0.06024459304776464,-0.12628067667381782,2.1479713603818507,0.14015148614185957
2004-02-01,6838.0,14279.0,14946.4,130821.0,4196.3,2004,2,-3.3897158322056864,0.28448738593664924,-0.1308962825455784,2.5648717564121792,0.29131944710636404
2004-03-01,6887.0,14287.0,14994.6,131140.0,4213.0,2004,3,-2.94816928197813,0.7755793322221649,0.5897380798892016,3.501653140967842,0.6948976849541211
2004-04-01,6901.0,14315.0,15014.6,131412.0,4206.8,2004,4,-2.0057502738225597,0.8395121427036356,0.8728179551122262,3.169382568395873,0.9518102832384523
2004-05-01,6948.0,14342.0,15029.6,131697.0,4219.7,2004,5,-1.4837202912488023,0.9979101007318025,1.2792818740399392,3.6087086191470386,1.1521002788082768
2004-06-01,6962.0,14334.0,15053.4,131794.0,4234.3,2004,6,-1.0970813496170573,1.2585512198731275,1.8252212389380684,3.55496058307303,1.2351558539320573
2004-07-01,6977.0,14331.0,15037.3,131854.0,4244.0,2004,7,-0.49989585503019685,1.2312850064627234,2.2576681203768434,3.593170007423896,1.2827997296134708
