date,construction,manufacturing,retail_trade,total_nonfarm,transportation_warehousing,year,month,manufacturing_yoy_pct,retail_trade_yoy_pct,transportation_warehousing_yoy_pct,construction_yoy_pct,total_nonfarm_yoy_pct,china_imports,export_price_index,import_price_index,manufacturing_ppi,steel_import_price,trade_balance,flag_bush_steel_tariffs,flag_trump_trade_war,flag_covid_supply_crisis,flag_tariff_escalation_2025,tariff_pressure_score
2000-01-01,6752.0,17284.0,15165.2,131011.0,4363.7,2000,1,,,,,,6902.1,99.2,97.8,130.8,103.1,-27131.0,0,0,0,0,0
2000-02-01,6730.0,17284.0,15174.1,131120.0,4372.8,2000,2,,,,,,6584.4,99.6,99.7,132.2,103.7,-29794.0,0,0,0,0,0
2000-03-01,6811.0,17302.0,15208.0,131604.0,4381.3,2000,3,,,,,,6424.1,100.0,99.9,132.9,104.4,-30557.0,0,0,0,0,0
2000-04-01,6794.0,17299.0,15281.9,131884.0,4386.5,2000,4,,,,,,7070.5,100.0,98.5,132.6,105.6,-28598.0,0,0,0,0,0
2000-05-01,6770.0,17278.0,15233.0,132105.0,4381.3,2000,5,,,,,,7850.2,100.2,98.8,133.1,106.0,-29165.0,0,0,0,0,0
2000-06-01,6778.0,17295.0,15243.2,132063.0,4391.8,2000,6,,,,,,8541.7,100.1,100.2,134.2,105.8,-30405.0,0,0,0,0,0
2000-07-01,6794.0,17322.0,15257.2,132228.0,4402.5,2000,7,,,,,,9246.4,100.0,100.2,133.9,105.7,-31252.0,0,0,0,0,0
2000-08-01,6796.0,17287.0,15279.7,132234.0,4420.0,2000,8,,,,,,10054.0,99.8,100.4,133.5,104.6,-29931.0,0,0,0,0,0
2000-09-01,6807.0,17229.0,15303.4,132337.0,4408.6,2000,9,,,,,,10061.7,100.4,101.6,134.7,104.3,-33333.0,0,0,0,0,0
2000-10-01,6814.0,17217.0,15308.3,132352.0,4420.1,2000,10,,,,,,10611.6,100.3,101.2,134.9,103.1,-33378.0,0,0,0,0,0
2000-11-01,6817.0,17202.0,15315.8,132556.0,4435.3,2000,11,,,,,,9066.8,100.3,101.2,134.9,101.8,-32723.0,0,0,0,0,0
2000-12-01,6792.0,17181.0,15362.5,132716.0,4462.9,2000,12,,,,,,7604.7,100.1,100.5,134.3,100.9,-33420.0,0,0,0,0,0
2001-01-01,6824.0,17105.0,15336.1,132703.0,4428.6,2001,1,-1.035639898171714,1.126922163901556,1.4872699773128328,1.0663507109004655,1.2914946073230515,8427.5,100.3,100.5,134.8,99.3,-35202.0,0,0,0,0,0
2001-02-01,6841.0,17030.0,15354.0,132788.0,4425.1,2001,2,-1.469567229807911,1.185572785206368,1.1960300036589766,1.649331352154526,1.27211714460036,6375.6,100.2,99.9,134.8,98.5,-29301.0,0,0,0,0,0
2001-03-01,6862.0,16938.0,15329.6,132751.0,4431.1,2001,3,-2.1038030285516096,0.7995791688584886,1.1366489398123791,0.7487887241227398,0.8715540561077262,7590.2,100.0,98.3,134.5,98.4,-32812.0,0,0,0,0,0
2001-04-01,6844.0,16802.0,15233.9,132458.0,4412.1,2001,4,-2.8729984392161345,-0.3140970690817202,0.5836087997264316,0.7359434795407793,0.4352309605410775,7686.8,99.9,97.8,135.6,97.6,-30521.0,0,0,0,0,0
2001-05-01,6849.0,16660.0,15237.6,132408.0,4408.1,2001,5,-3.5768028707026223,0.0301975973216128,0.611690594115899,1.1669128508124071,0.2293630066992236,7757.9,99.6,98.0,136.5,97.3,-27095.0,0,0,0,0,0
2001-06-01,6840.0,16513.0,15241.8,132300.0,4387.1,2001,6,-4.521538016767856,-0.0091844232182336,-0.1070176237533582,0.9147241074063172,0.1794598032757166,8398.2,99.4,97.6,135.8,96.9,-29151.0,0,0,0,0,0
2001-07-01,6845.0,16381.0,15180.5,132172.0,4390.3,2001,7,-5.432398106454217,-0.5027134729832516,-0.277115275411699,0.7506623491315922,-0.0423510905405821,8975.3,99.0,96.1,134.4,97.1,-29902.0,0,0,0,0,0
2001-08-01,6827.0,16233.0,15185.3,132021.0,4381.8,2001,8,-6.097067160293868,-0.6178131769602913,-0.8642533936651597,0.4561506768687495,-0.1610780888425034,10042.9,98.8,96.0,134.6,96.7,-28094.0,0,0,0,0,0
